127.0.0.1 - - [07/Jan/2020:09:45:35 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:45:36 +0900] "GET /web02_html5/html/ex01_page.html HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:48:27 +0900] "GET /web02_html5/html/ex01_page.html HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:48:51 +0900] "GET /web02_html5/html/ex01_page.html HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:50:27 +0900] "GET /web02_html5/html/ex01_page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:54:09 +0900] "GET /web02_html5/html/ex01_page.html HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:55:14 +0900] "GET /web02_html5/html/ex01_page.html HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:55:21 +0900] "GET /web02_html5/html/ex01_page.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:55:33 +0900] "GET /web02_html5/html/ex01_page.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:55:45 +0900] "GET /web02_html5/html/ex01_page.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:55:52 +0900] "GET /web02_html5/html/ex01_page.html HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:55:59 +0900] "GET /web02_html5/html/ex01_page.html HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:56:40 +0900] "GET /web02_html5/html/ex01_page.html HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:56:48 +0900] "GET /web02_html5/html/ex01_page.html HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:35:25 +0900] "GET /web02_html5/html/ex02.html HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:35:25 +0900] "GET /web02_html5/images/Flowser1.jpg HTTP/1.1" 200 537738
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:36:45 +0900] "GET /web02_html5/html/ex02.html HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:36:45 +0900] "GET /web02_html5/images/Flowser2.jpg HTTP/1.1" 200 4736
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:58:47 +0900] "GET /web02_html5/html/ex02.html HTTP/1.1" 200 6683
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:58:47 +0900] "GET /web02_html5/images/Flowser2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:59:02 +0900] "GET /web02_html5/html/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:12:15 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:12:15 +0900] "GET /web02_html5/images/house.gif HTTP/1.1" 200 60575
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:12:54 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:15:16 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:15:52 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:16:26 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:16:38 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:16:54 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:19:17 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:19:17 +0900] "GET /web02_html5/images/house.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:19:20 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:19:22 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:22:44 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:23:06 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:23:15 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:26:30 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:26:30 +0900] "GET /web02_html5/images/house.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:26:38 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:26:58 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:27:33 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:29:02 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:29:02 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:29:39 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:30:01 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:30:01 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:30:39 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:30:43 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:30:55 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:31:02 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 304 -
